DWH_REFERENZPREISE_DE;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
01.01.2023;-5.17;-1.07;-1.47;-5.08;-4.49;-5.4;-5.02;-1.3;-1.44;-1.09;-1.07;-1.07;-0.79;-0.27;0.85;23.53;36.54;46.03;55.57;54.95;49.23;44.99;45.96;35
02.01.2023;57.91;51.67;52.93;44.09;50.08;69.72;105.08;140.64;145.98;147.05;145.61;143.35;144.38;143.76;148.2;155.34;162.89;170;174.74;164.46;153;141.67;134.91;124.22
03.01.2023;130.01;120;118.76;115;113.63;116.27;138.92;159.92;169.17;171.18;168.57;169.49;164.5;160.91;163.06;167.73;166.61;170.72;168.93;160.99;149.62;130.99;114.27;93.66
04.01.2023;85.29;78.03;71.98;64.16;71;84.58;113.03;155.82;171.25;157.11;147.05;145.6;140.25;144.16;151.73;158.68;159.91;168.12;157.19;147.09;121.34;101.43;90.02;71.89
05.01.2023;-20.75;-13.94;-14.89;-5.8;1.26;22.29;58.88;108.43;125.11;116.63;115.24;111.1;106.43;118.16;139.67;157.08;164.14;198.79;193.83;191.77;166.35;137.84;120.46;109.31
06.01.2023;59.47;60.54;57.46;57.93;62.71;81;119.78;147.93;156.52;143.91;136.77;128.97;129.4;136.53;145.85;151.44;151.24;176.54;154.6;138.71;110.82;85.6;80.8;65.21
07.01.2023;36.13;33.93;25.49;23.23;23.42;32.24;46.76;63.45;69.4;72.24;78.17;70.09;59.43;62.65;70.43;72.45;71.55;91.11;77.73;66.31;46.95;30.76;25.94;13.5
08.01.2023;4.42;4.82;5.4;6.95;15.03;20.94;33.28;43.51;53.2;51.76;52.33;52.97;49.51;57.57;66.11;73.77;79.2;104.27;104.61;107.77;97.73;84.02;77.71;66.53
09.01.2023;97.62;105.07;107.47;108.04;112.66;140.67;192.33;246.09;262.77;242.45;224.18;207.09;196.83;197.29;199.54;215.01;223.5;256.23;256.82;248.72;222.21;192.96;176.6;159.8
10.01.2023;129.25;122.15;116.35;113.78;117.4;135.08;164.52;197.73;187.49;180.33;171.21;167.76;161.26;156.21;160.12;168.01;175.1;193.34;190.91;176.89;182.17;161.83;155.26;132.8
11.01.2023;129.25;122.15;116.35;113.78;117.4;135.08;164.52;197.73;187.49;180.33;171.21;167.76;161.26;156.21;160.12;168.01;175.1;193.34;190.91;176.89;182.17;161.83;155.26;132.8
12.01.2023;129.25;122.15;116.35;113.78;117.4;135.08;164.52;197.73;187.49;180.33;171.21;167.76;161.26;156.21;160.12;168.01;175.1;193.34;190.91;176.89;182.17;161.83;155.26;132.8
13.01.2023;128.28;125.3;119.42;117.73;122.05;136.78;163.42;201.98;199.89;195.58;185.78;182.73;175.02;168.44;171.81;183.02;188.11;215.32;214.03;197.42;200.47;186.14;177.01;157.89
14.01.2023;99.67;95.06;94.27;91.53;90.53;90.33;91.5;100.53;114.01;125.45;125.06;122.19;116.71;109.35;106.08;108.37;113.4;128.16;129.33;119.96;108.28;98.87;98.71;90.5
15.01.2023;77.62;73.82;70.82;65.36;63.13;63.49;60.39;64.3;70.91;78.57;82.66;85.52;84.49;77.96;74.48;77.3;81.23;93.62;100.83;96.15;89.69;83.15;83.56;73.09
16.01.2023;116.66;107.62;105.14;98.92;100.7;116.57;166.3;215.28;230.86;222.13;213.7;208.1;199.6;197.26;201.21;211.39;221.37;241.91;239.65;223.81;210.42;190.42;180.69;158.99
17.01.2023;144.16;137.28;131.43;127.57;130.95;148.03;177.91;214.16;240.52;232.15;222.96;217.97;209.55;203.88;207.65;215.15;222.4;243.89;241.1;223.34;193.66;172.53;164.12;141.37
18.01.2023;144.16;137.28;131.43;127.57;130.95;148.03;177.91;214.16;240.52;232.15;222.96;217.97;209.55;203.88;207.65;215.15;222.4;243.89;241.1;223.34;193.66;172.53;164.12;141.37
19.01.2023;144.16;137.28;131.43;127.57;130.95;148.03;177.91;214.16;240.52;232.15;222.96;217.97;209.55;203.88;207.65;215.15;222.4;243.89;241.1;223.34;193.66;172.53;164.12;141.37
20.01.2023;124.55;121.81;114.58;113.53;120.46;135.67;162.95;205.52;241.02;238;226.73;227.14;217.31;212.36;215.14;227.57;233.25;264.54;263.88;242.47;207.44;188.52;176.69;156.88
21.01.2023;158.92;150.29;147.48;139.83;134.38;138.91;136.29;156.75;177.24;196.66;194.9;194.66;184.6;171.82;168.76;170.59;180.71;203.52;206.05;190.45;167.76;149.77;158.77;138.59
22.01.2023;117.96;111.6;106.64;99.77;97.55;98.64;93.71;100.86;113.26;127.01;133.48;138.12;137.3;126.98;122.24;126.84;136.91;169.65;178.67;171.56;159.18;147.79;148.42;130.22
23.01.2023;137.73;128.26;124.1;118.64;118.53;133.53;187.39;239.49;268.05;257.92;247.17;240.48;228.67;224.12;225.28;232.62;242.87;271.82;271.87;252.52;225.34;202.78;193.03;166.17
24.01.2023;161.12;153.07;147.34;143.17;147.7;166.57;202.05;242.74;270.86;259.95;249.77;243.35;232.67;226.85;230.45;239.04;245.86;271.63;271.7;253.76;221.06;196.38;187.77;161.82
25.01.2023;161.12;153.07;147.34;143.17;147.7;166.57;202.05;242.74;270.86;259.95;249.77;243.35;232.67;226.85;230.45;239.04;245.86;271.63;271.7;253.76;221.06;196.38;187.77;161.82
26.01.2023;161.12;153.07;147.34;143.17;147.7;166.57;202.05;242.74;270.86;259.95;249.77;243.35;232.67;226.85;230.45;239.04;245.86;271.63;271.7;253.76;221.06;196.38;187.77;161.82
27.01.2023;149.46;145.09;137.85;136.68;142.8;157.25;189.12;236.8;275.84;264.46;248.09;247.26;237.53;230.06;230.87;243.02;249.03;280.92;283.38;258.51;222.04;203.77;192.04;170.44
28.01.2023;172.13;162.49;156.75;147;142.87;147.2;148.08;171.78;192.7;213.06;207.1;207.97;194.61;180.1;176.8;181.07;195.97;223.53;227.34;208.14;182.29;154.91;161.88;137.01
29.01.2023;127.65;119.57;113.79;106.95;104.71;105.5;97.52;105.89;117.44;133.94;141.76;150.74;156.53;144.76;137.23;148.19;164.05;204.73;216.51;205.6;187.08;173.98;179.07;156.31
30.01.2023;113.81;102.35;100.69;95.44;93.66;113.77;163.09;210.42;289.53;278.58;265.78;259.53;244.82;235.3;234.61;249.28;259.04;294.64;302.35;284.61;201.63;181.21;171.56;148.29
31.01.2023;144.43;137.22;132.26;128.02;131.72;145.84;177.78;216.04;302.08;289.19;270.6;259.97;245.34;240.03;244.47;256.14;264.93;295.61;306.23;283.7;196.47;173.78;166.16;144.9
01.02.2023;176.82;167.99;161.93;156.74;161.27;178.55;217.66;264.5;302.08;289.19;270.6;259.97;245.34;240.03;244.47;256.14;264.93;295.61;306.23;283.7;240.54;212.76;203.43;177.4
02.02.2023;176.82;167.99;161.93;156.74;161.27;178.55;217.66;264.5;302.08;289.19;270.6;259.97;245.34;240.03;244.47;256.14;264.93;295.61;306.23;283.7;240.54;212.76;203.43;177.4
03.02.2023;167.13;163.4;157;154.86;161.12;174.7;212.5;260.96;306.12;285.06;261.58;257.38;246.06;236.55;239.21;254.32;264.12;293.94;303.59;279.12;235.11;214.87;205.06;185.66
04.02.2023;184.87;175.6;168.35;156.62;151.63;156.82;155.32;178.27;196.31;210.42;201.96;203.09;185.01;171.52;170.56;182.13;206.07;233.83;242.8;219.32;190.14;157.7;165.25;140.47
05.02.2023;126.69;120.69;116.3;112.29;111.17;111;100.41;107.65;117.81;126.3;132.36;138.81;135.68;124.84;117.77;127.61;148.61;192.97;206.89;193.13;172.77;159.89;167.38;144.88
06.02.2023;117.44;97.86;96.74;93.73;96.25;130.46;192.09;246.6;221.57;212.79;201.05;197.04;184.96;178.29;176.71;189.85;203.35;238.65;250.8;233.49;255;224.94;215.42;185.57
07.02.2023;179.59;171.55;165.39;160.59;164.77;181.56;223.45;273.21;246.59;235.96;218.37;208.21;194.28;188.01;189.85;198.71;205.92;231.88;246;225.05;237.94;212.94;203.53;176.75
08.02.2023;179.59;171.55;165.39;160.59;164.77;181.56;223.45;273.21;246.59;235.96;218.37;208.21;194.28;188.01;189.85;198.71;205.92;231.88;246;225.05;237.94;212.94;203.53;176.75
09.02.2023;179.59;171.55;165.39;160.59;164.77;181.56;223.45;273.21;246.59;235.96;218.37;208.21;194.28;188.01;189.85;198.71;205.92;231.88;246;225.05;237.94;212.94;203.53;176.75
10.02.2023;164.38;160.29;155.38;154.72;162.62;179.38;217.11;270.62;249.17;229.32;210.09;204.1;195.15;185.24;183.54;193.9;202.32;222.96;234.61;218;228.52;209.65;202.18;176.15
11.02.2023;170.46;157.77;147.85;138.8;129.69;134.2;131.22;155.06;171.7;180.22;177.51;169.25;154.4;138.18;136.69;150.89;178.46;212.47;226.39;200.85;170.43;138.41;148.9;127.95
12.02.2023;103.91;98.78;98.99;92.33;92;95.54;88.17;97.16;109.08;121.14;126.75;133.78;131.74;113.86;106.63;113.45;135.92;185.37;203.98;187.81;163.9;149.7;160.55;136.38
13.02.2023;101.3;87.1;88.54;87;93.18;127.57;183.5;245.23;218.98;209.33;193.53;191.87;183.56;176.71;173.8;184.98;196.38;227.59;245.34;228.09;244.68;211.93;202.18;173.96
14.02.2023;173.06;165.24;160.64;155.78;160.74;176.32;220.4;270.65;244;230.27;210.29;200.6;187.28;181.37;182.72;191.55;201.28;229.67;246.5;228.18;236.77;211.36;202.95;175.65
15.02.2023;173.06;165.24;160.64;155.78;160.74;176.32;220.4;270.65;244;230.27;210.29;200.6;187.28;181.37;182.72;191.55;201.28;229.67;246.5;228.18;236.77;211.36;202.95;175.65
16.02.2023;173.06;165.24;160.64;155.78;160.74;176.32;220.4;270.65;244;230.27;210.29;200.6;187.28;181.37;182.72;191.55;201.28;229.67;246.5;228.18;236.77;211.36;202.95;175.65
17.02.2023;170.33;164.11;160.17;159.4;165.55;179.98;219.52;266.8;242.48;221.06;200.48;192.13;182;175.03;172.95;181.77;195.06;218.94;237.56;224.35;228.92;208.97;200.01;175.68
18.02.2023;159.52;149.16;144.13;136.32;128.52;135.46;135.13;157.49;170.68;174.07;166.18;153.27;136.56;119.88;119.41;135.35;162.76;202.25;218.56;195.66;162.58;130.11;142.39;122.16
19.02.2023;97.74;90.77;89.32;84.24;85.03;88.49;82.17;90.7;100.99;107.64;107.96;113.82;107.32;89.97;83.96;98.11;126.55;184.89;206.2;192.6;163.89;147.65;159.87;137.54
20.02.2023;96.97;83.2;85.93;83.89;92.8;128.12;187.81;245.52;222.75;206.1;180.48;176.32;169.92;162.68;159.9;176.51;193.22;226.64;252.1;233.54;235.22;198.26;192.44;163.55
21.02.2023;174.43;166.93;162.99;159.8;164.79;180.75;227.12;273.49;253.02;235.22;209.91;200.32;187.3;181.6;184;194.88;206.91;236.11;259.01;244.72;244.88;220.33;212.54;186.37
22.02.2023;174.43;166.93;162.99;159.8;164.79;180.75;227.12;273.49;253.02;235.22;209.91;200.32;187.3;181.6;184;194.88;206.91;236.11;259.01;244.72;244.88;220.33;212.54;186.37
23.02.2023;174.43;166.93;162.99;159.8;164.79;180.75;227.12;273.49;253.02;235.22;209.91;200.32;187.3;181.6;184;194.88;206.91;236.11;259.01;244.72;244.88;220.33;212.54;186.37
24.02.2023;191.83;184.1;181.55;180.3;184.1;198.62;236.38;275.94;254.97;231.32;210.84;199.68;190.49;179.54;177.75;185.59;200.22;222.78;243.49;235.18;235;220.11;214.55;192.35
25.02.2023;179.08;168.35;163.37;158.34;154.61;156.85;161.29;177.53;189.88;188.53;178.98;161.47;145.1;129.68;127.8;148.52;174.19;214.71;233.7;215.42;186.99;155.71;159.6;145.69
26.02.2023;126.01;119.15;117.34;111.87;111.14;114.49;109.71;117.33;123.01;118;121.44;127.62;120.89;101.87;95.45;112.97;140.23;183.07;209.48;199.52;172.74;157.68;169.73;150.17
27.02.2023;110.56;98.12;101.65;100.87;110.04;141.97;196.64;249.34;234.44;212.22;184.86;181.05;174.92;168.79;167.02;186.08;202.87;233.85;265.03;252.9;237.85;202.63;197.56;172.33
28.02.2023;179.99;171.91;167.5;168.21;168.04;184.52;227.41;270.8;255.75;238.03;209.82;200.24;188.58;181.57;184.09;195.71;210.79;237.91;263.22;251.58;239.31;216.44;208.07;180.05
01.03.2023;158.36;151.24;147.37;148;147.84;162.34;200.08;238.25;247.28;230.15;202.87;193.61;182.34;175.56;178;189.24;203.81;230.03;254.51;243.25;210.54;190.43;183.06;158.41
02.03.2023;158.36;151.24;147.37;148;147.84;162.34;200.08;238.25;247.28;230.15;202.87;193.61;182.34;175.56;178;189.24;203.81;230.03;254.51;243.25;210.54;190.43;183.06;158.41
03.03.2023;146.34;141.05;135.71;135.31;140.06;157.75;194.69;224.96;221.08;197.14;172.87;164.65;153.32;143.91;143.2;157.35;176;207.42;232.65;229.9;199.13;183.44;179.73;162.43
04.03.2023;149.01;139.97;137.88;134.73;131.02;132.79;137.55;146.91;152.59;148.94;142.35;130.59;113.88;100.61;99.69;119.32;142.17;183.47;203.96;190.92;161.09;137.42;145.7;133.43
05.03.2023;114.74;108.93;106.66;101.82;104.65;105.85;102.33;106.99;110.66;105.79;103.36;102.86;83.97;67.08;66.3;84.48;114.43;160.48;189.51;184.7;161.02;148.2;158.33;143.32
06.03.2023;122.93;114.9;116.38;116.38;126.15;149.35;196.78;231.43;244.26;222.79;194.69;188.77;183.61;179.8;178.7;193.72;210.76;237.1;270.74;264.98;217.08;189.63;184.29;163.07
07.03.2023;155.67;149.01;145.65;147.25;147;161.73;196.86;228.97;243.82;226.03;202.22;194.2;183;175.78;177.93;187.35;202.85;226.83;249.07;247.32;203.11;184.47;177.07;154.82
08.03.2023;155.67;149.01;145.65;147.25;147;161.73;196.86;228.97;243.82;226.03;202.22;194.2;183;175.78;177.93;187.35;202.85;226.83;249.07;247.32;203.11;184.47;177.07;154.82
09.03.2023;155.67;149.01;145.65;147.25;147;161.73;196.86;228.97;243.82;226.03;202.22;194.2;183;175.78;177.93;187.35;202.85;226.83;249.07;247.32;203.11;184.47;177.07;154.82
10.03.2023;137.28;130.8;125.28;126.1;132;149.77;184.99;211.36;215.41;191.46;167;158.68;148.68;140.66;138.57;149.65;165.79;197.38;222.97;226.39;185.34;168.89;167.33;151.36
11.03.2023;136.81;127.6;124.95;122.81;119.74;122.71;128.55;138.42;141.28;133.6;125.65;113.46;100.87;85.63;83.39;99.68;119.22;162.75;188.5;184.14;155.95;131.92;139.87;128.88
12.03.2023;112.37;102.8;100.23;93.93;96.93;98.37;93.27;96;97.93;94.82;87.63;87.18;71.02;48.81;50.7;74.87;104.32;152.59;186.93;190.05;165.06;150.85;160.8;146.53
13.03.2023;137.5;133.88;133.83;131.26;138.58;157.91;205.57;239.02;256.53;229.7;196.92;190.63;184.24;180.62;179.47;195.86;212.18;239.82;276.11;280.53;222.54;196.96;189.53;167.9
14.03.2023;164.66;157.98;154.69;156.06;155.85;170.51;205.06;231.62;251.42;227.4;203.44;196.41;187.66;183.18;187.08;196.33;213.5;240.2;266.08;272.8;219.88;198.22;188.84;166.75
15.03.2023;164.66;157.98;154.69;156.06;155.85;170.51;205.06;231.62;251.42;227.4;203.44;196.41;187.66;183.18;187.08;196.33;213.5;240.2;266.08;272.8;219.88;198.22;188.84;166.75
16.03.2023;164.66;157.98;154.69;156.06;155.85;170.51;205.06;231.62;251.42;227.4;203.44;196.41;187.66;183.18;187.08;196.33;213.5;240.2;266.08;272.8;219.88;198.22;188.84;166.75
17.03.2023;157.68;149.61;141.72;140.48;144.09;159.44;196.92;215.1;223.79;194.69;166.42;159.89;150.18;143.55;143.39;158.78;178.48;212.92;239.85;245.99;198.83;179.14;176.88;163.41
18.03.2023;152.59;145.26;143.29;139.07;139.55;144.74;150.89;156.17;153.03;143.34;124.1;116.98;92.59;81.66;81.89;107.29;131.01;175.32;202.56;206.21;177.15;151.01;158.37;142.33
19.03.2023;131.21;119.4;115.46;109.86;112;110.52;106.23;107.52;105.89;98.59;87.49;80.18;57.24;26.05;27.51;56.25;96.02;147.36;188.96;204.29;187.48;172.66;179.06;165.79
20.03.2023;153.42;148.71;148.95;145.94;149.74;170.37;222.9;251.53;277.27;245.55;209.06;196.23;184.33;177.61;172.13;189.6;206.66;240.34;284.41;301.68;237.27;211.51;202.56;182.19
