DWH_REFERENZPREISE_FR;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
01.01.2023;0;-0.1;-1.33;-4.08;-4.16;-3.58;-4.37;-0.12;-0.06;0;0;0;0;0.1;1.5;23.5;36.54;46.03;44.43;54.95;47.38;40.24;45.96;35
02.01.2023;61.38;52.68;52.93;42.75;50.08;67.91;105.08;140.64;149.8;154.66;145.61;143.35;144.38;143.76;148.2;155.34;163.17;173.8;174.74;165.76;153;141.67;134.91;124.22
03.01.2023;130.01;120;118.76;115;113.63;116.27;138.92;159.92;169.17;171.18;168.57;169.49;164.5;160.91;163.06;166.46;166.88;171.23;169.01;160.99;149.62;131.5;115.1;95.02
04.01.2023;70.02;70.46;67.65;60.08;62;74.12;105.52;156.1;181.5;163.87;149.04;141.02;128.59;127.29;141.28;148.14;154.89;173.96;179.25;176.66;131.39;103.99;96.11;86.03
05.01.2023;75.23;70.02;65.8;56.69;56.53;72.51;106.55;153.78;166.76;159.33;150.66;143.61;134.26;131.08;139.88;147.55;147.08;167.42;169.89;161.25;126.11;97.69;93.38;83.68
06.01.2023;92.87;89.61;78.34;75.62;75.21;86.68;126.71;173.4;196.12;184.35;168.94;161.34;150.79;135.46;143.03;138.77;145.89;161.11;154.9;138.41;103.81;86.98;92.56;83.64
07.01.2023;106.38;110.99;105.93;91.61;85.17;86.94;93.42;121.81;141.32;163.68;167.92;159.98;147.42;151.12;143.63;152.55;168.05;189.26;172.62;124.95;95.48;72.37;79.46;80.39
08.01.2023;111.28;108.23;106.64;89.38;83.64;88.61;88.82;106.08;118.78;125.24;123.87;129.55;129.35;120.33;129.82;147.22;165.18;186.02;192.22;160.74;135.96;109.78;108.52;105.14
09.01.2023;121.39;111.75;113.14;103.41;102.49;125.64;177.77;218.47;240.99;227.22;204.56;205.12;192.66;188.07;201.39;215.98;220.14;255.58;271.75;269.35;221.36;184.27;172.2;160.58
10.01.2023;136.1;127.44;122.15;110.58;108.01;120.98;146.42;180.73;207.87;211.38;203.91;197.83;192.1;184.71;180.44;183.06;187.62;209.3;218.16;212.47;177.38;155.58;150.47;141.81
11.01.2023;136.1;127.44;122.15;110.58;108.01;120.98;146.42;180.73;207.87;211.38;203.91;197.83;192.1;184.71;180.44;183.06;187.62;209.3;218.16;212.47;177.38;155.58;150.47;141.81
12.01.2023;136.1;127.44;122.15;110.58;108.01;120.98;146.42;180.73;207.87;211.38;203.91;197.83;192.1;184.71;180.44;183.06;187.62;209.3;218.16;212.47;177.38;155.58;150.47;141.81
13.01.2023;138.75;131.66;128.2;122.36;120.89;130.21;147.75;184.73;224.15;228.45;218.85;208.58;200.86;187.4;183.47;184.08;190.96;213.92;229.48;222.16;180.46;164.28;156.82;150.11
14.01.2023;148.11;138.49;134.4;127.47;123.24;123.41;129.18;139.55;153.48;164.19;165.09;160.82;156.92;145.35;139.56;140.63;146.28;165.02;171.59;167.55;153.66;137.53;138.22;137.45
15.01.2023;108.61;101;96.62;85.97;81.78;82.76;87.03;93.61;98.76;112.59;117.54;119.15;120.13;109.24;104.05;106.31;110.73;126.85;143.66;147.84;135.96;122.84;122.91;114.95
16.01.2023;240.81;222.02;217.46;202.29;202.9;230.69;310.96;396.28;188.85;193.77;178.21;170.9;167.43;163.6;163.38;166.94;172.22;187.93;199.26;192.11;404.39;360.4;346.45;321.59
17.01.2023;306.21;287.61;276.96;254.57;249.8;276.12;331.4;407.59;200.36;202.1;193.06;187.23;181.11;173.56;169.94;171.3;175.39;195.2;206.48;200.07;394.56;344.73;334.44;313.92
18.01.2023;306.21;287.61;276.96;254.57;249.8;276.12;331.4;407.59;200.36;202.1;193.06;187.23;181.11;173.56;169.94;171.3;175.39;195.2;206.48;200.07;394.56;344.73;334.44;313.92
19.01.2023;306.21;287.61;276.96;254.57;249.8;276.12;331.4;407.59;200.36;202.1;193.06;187.23;181.11;173.56;169.94;171.3;175.39;195.2;206.48;200.07;394.56;344.73;334.44;313.92
20.01.2023;304.02;285.97;277.62;265.15;261.59;281.94;324.92;406.28;205.76;207.49;198.84;189.18;182.11;170.19;165.14;165.85;171.23;191.31;204.47;198.19;386.34;353.88;338.03;321.68
21.01.2023;316.84;296.51;285.35;271.64;262.07;263.68;278.27;301.45;333.26;356.72;357.83;348.89;340.81;317.08;302.16;299.13;307.43;349.69;374.15;369.45;338.86;301.58;304.31;302.99
22.01.2023;251.51;234.4;226.32;204.39;194.62;197.74;206.37;220.5;232.73;262.25;271.46;276.28;277.82;253.84;241.55;243.85;256.15;289.16;330.47;339.59;310.2;280.56;279.83;259.67
23.01.2023;249.95;234.99;229.02;213.22;200.25;222.79;296.19;371.94;162.69;165.97;153.82;147.56;143.32;139.07;137.01;137.55;139.83;155.52;169.14;163.43;371.69;328.14;318.1;295.17
24.01.2023;295.43;277.35;267.06;245.77;237.99;264.86;320.45;393.28;168.19;169.21;161.46;156.55;151.53;144.33;141.48;142.34;145.89;162.83;173.39;169.15;381.96;334.16;325.09;304.61
25.01.2023;295.43;277.35;267.06;245.77;237.99;264.86;320.45;393.28;168.19;169.21;161.46;156.55;151.53;144.33;141.48;142.34;145.89;162.83;173.39;169.15;381.96;334.16;325.09;304.61
26.01.2023;295.43;277.35;267.06;245.77;237.99;264.86;320.45;393.28;168.19;169.21;161.46;156.55;151.53;144.33;141.48;142.34;145.89;162.83;173.39;169.15;381.96;334.16;325.09;304.61
27.01.2023;298.56;281.53;273.35;260.18;255.08;273.57;315.61;392.2;173.2;173.76;166.58;157.73;152.24;142;137.9;137.63;140.97;158.42;169.85;165.94;370.56;335.96;326.35;309.23
28.01.2023;309.58;287.99;276.57;262.83;252.9;253.43;269.3;290.79;321.86;341.84;342.85;331.44;324.75;303.19;287.71;284.25;291.78;330.73;360.38;357.49;326.11;287.19;288.92;285.95
29.01.2023;270.81;251.27;234.03;205.46;197.74;194.91;205.73;223.38;236;281.65;292.7;300.91;303.61;279.27;260.12;261.36;277.32;312.7;364.55;377.67;333.53;305.64;309.34;295.01
30.01.2023;254.7;238.81;230.83;211.05;201.16;231.71;300.59;368.35;262.32;264.28;251.07;242.77;235.23;228.26;223.43;220.25;223.01;247.94;269.33;260.43;353.57;316.35;304.99;284.67
31.01.2023;270.47;255.87;248.29;232.29;226.1;247.62;295.65;365.83;268.51;266.72;250.43;241.32;230.83;219.51;215.03;216.23;221.79;249.02;271.58;262.98;347.63;302.97;296.99;279.8
01.02.2023;261.6;247.48;240.15;224.67;218.68;239.5;285.96;353.84;268.51;266.72;250.43;241.32;230.83;219.51;215.03;216.23;221.79;249.02;271.58;262.98;336.23;293.03;287.25;270.63
02.02.2023;261.6;247.48;240.15;224.67;218.68;239.5;285.96;353.84;268.51;266.72;250.43;241.32;230.83;219.51;215.03;216.23;221.79;249.02;271.58;262.98;336.23;293.03;287.25;270.63
03.02.2023;257.79;242.8;236.87;227.31;223.19;238.87;281.12;343.63;262.82;261.89;248.66;236.11;225.66;210.55;202.16;199.04;206.73;232.28;252.12;246.77;314.99;287.38;279.35;262.11
04.02.2023;268.38;252.36;242.59;229.93;220.67;223.04;236.48;255.93;280.92;295.73;294;281.05;275.01;257.3;244.5;244.74;253.63;286.54;317.23;316.92;289.27;259.14;258.93;250.28
05.02.2023;243.85;228.2;213.85;195.75;189.01;188.79;194.39;204.54;211.52;244.48;252.25;256.05;256.62;229.9;207.04;209.42;225.13;254.86;303.43;315.52;275.93;246.92;252.43;237.78
